User,Recording,Style,Strokes,No_Strokes,Total,Stroke_Percentage
0,Freestyle_1527874144300_updated.csv,0.0,0,7495,7495,0.0
0,Freestyle_1527874144300_updated.csv,1.0,111,6955,7066,1.5709029153693745
0,Freestyle_1527874144300_updated.csv,5.0,0,471,471,0.0
0,Freestyle_1527873200322_updated.csv,0.0,0,2231,2231,0.0
0,Freestyle_1527873200322_updated.csv,1.0,26,1564,1590,1.6352201257861636
0,Freestyle_1527873200322_updated.csv,5.0,0,134,134,0.0
1,Freestyle_1527676714707_updated.csv,-1.0,0,1109,1109,0.0
1,Freestyle_1527676714707_updated.csv,0.0,0,9886,9886,0.0
1,Freestyle_1527676714707_updated.csv,1.0,370,20925,21295,1.7374970650387414
1,Freestyle_1527676714707_updated.csv,3.0,128,9121,9249,1.3839333982052113
1,Freestyle_1527676714707_updated.csv,5.0,0,2103,2103,0.0
2,Butterfly_1532600827326_updated.csv,-1.0,0,806,806,0.0
2,Butterfly_1532600827326_updated.csv,0.0,0,5192,5192,0.0
2,Butterfly_1532600827326_updated.csv,1.0,18,1187,1205,1.4937759336099585
2,Butterfly_1532600827326_updated.csv,3.0,11,977,988,1.1133603238866396
2,Butterfly_1532600827326_updated.csv,4.0,27,1468,1495,1.8060200668896322
2,Butterfly_1532600827326_updated.csv,6.0,0,331,331,0.0
2,Butterfly_1527503549865_updated.csv,0.0,0,6306,6306,0.0
2,Butterfly_1527503549865_updated.csv,4.0,46,1991,2037,2.258222876779578
2,Freestyle_1527502597564_updated.csv,0.0,0,5881,5881,0.0
2,Freestyle_1527502597564_updated.csv,1.0,162,10632,10794,1.500833796553641
2,Freestyle_1527502597564_updated.csv,5.0,0,876,876,0.0
2,Backstroke_1527071280739_updated.csv,0.0,0,7021,7021,0.0
2,Backstroke_1527071280739_updated.csv,3.0,153,11461,11614,1.3173755811951093
2,Backstroke_1527071280739_updated.csv,5.0,0,789,789,0.0
2,Freestyle_1527072298681_updated.csv,0.0,0,2934,2934,0.0
2,Freestyle_1527072298681_updated.csv,1.0,63,4333,4396,1.4331210191082804
2,Freestyle_1527072298681_updated.csv,5.0,0,384,384,0.0
2,Freestyle_1527072607736_updated.csv,0.0,0,11003,11003,0.0
2,Freestyle_1527072607736_updated.csv,1.0,300,17371,17671,1.6976967913530643
2,Freestyle_1527072607736_updated.csv,5.0,0,1321,1321,0.0
2,Freestyle_1532600456605_updated.csv,-1.0,0,268,268,0.0
2,Freestyle_1532600456605_updated.csv,0.0,0,645,645,0.0
2,Freestyle_1532600456605_updated.csv,1.0,19,1262,1281,1.483216237314598
2,Freestyle_1532600456605_updated.csv,6.0,0,2274,2274,0.0
2,Backstroke_1527503192471_updated.csv,0.0,0,2792,2792,0.0
2,Backstroke_1527503192471_updated.csv,3.0,91,6899,6990,1.301859799713877
2,Backstroke_1527503192471_updated.csv,5.0,0,581,581,0.0
2,Breaststroke_1527071936580_updated.csv,0.0,0,1789,1789,0.0
2,Breaststroke_1527071936580_updated.csv,2.0,128,8007,8135,1.5734480639213275
2,Breaststroke_1527071936580_updated.csv,5.0,0,680,680,0.0
3,Backstroke_1527676729499_updated.csv,-1.0,0,337,337,0.0
3,Backstroke_1527676729499_updated.csv,0.0,0,6662,6662,0.0
3,Backstroke_1527676729499_updated.csv,1.0,85,6007,6092,1.3952724885095207
3,Backstroke_1527676729499_updated.csv,3.0,73,6357,6430,1.135303265940902
3,Backstroke_1527676729499_updated.csv,5.0,0,956,956,0.0
4,Breaststroke_1526812086955_updated.csv,0.0,0,9709,9709,0.0
4,Breaststroke_1526812086955_updated.csv,2.0,228,19745,19973,1.1415410804586192
4,Breaststroke_1526812086955_updated.csv,5.0,0,316,316,0.0
4,Breaststroke_1527503875669_updated.csv,0.0,0,4157,4157,0.0
4,Breaststroke_1527503875669_updated.csv,2.0,160,13058,13218,1.2104705704342564
4,Breaststroke_1527503875669_updated.csv,5.0,0,2045,2045,0.0
4,Freestyle_1526810816300_updated.csv,0.0,0,635,635,0.0
4,Freestyle_1526810816300_updated.csv,1.0,47,2897,2944,1.596467391304348
4,Freestyle_1526810816300_updated.csv,5.0,0,148,148,0.0
4,Freestyle_1527592571955_updated.csv,0.0,0,451,451,0.0
4,Freestyle_1527592571955_updated.csv,1.0,103,6075,6178,1.6672062156037553
4,Freestyle_1527592571955_updated.csv,5.0,0,517,517,0.0
4,Freestyle_1527504545297_updated.csv,0.0,0,1905,1905,0.0
4,Freestyle_1527504545297_updated.csv,1.0,199,11193,11392,1.7468398876404494
4,Freestyle_1527504545297_updated.csv,5.0,0,550,550,0.0
4,Breaststroke_1527591584926_updated.csv,0.0,0,5498,5498,0.0
